
These statistics were generated by MLife (v1.01.00a-gjh, 30-Oct-2015) on 15-Jul-2023 at 15:54:02 by MATLAB (R2022b) Update 2.


The analysis was based upon 96001 rows.

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)


    Channel       Minimum      Mean       Maximum     StdDev    Skewness    Kurtosis    Range    
    OoPDefl1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    IPDefl1          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwstDefl1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    OoPDefl2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    IPDefl2          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwstDefl2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    OoPDefl3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    IPDefl3          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwstDefl3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwrClrnc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwrClrnc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwrClrnc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   NcIMUTAxs         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   NcIMUTAys         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   NcIMUTAzs         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TTDspFA          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TTDspSS          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TTDspTwst         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   PtfmSurge         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    PtfmSway         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   PtfmHeave         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    PtfmRoll         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   PtfmPitch         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    PtfmYaw          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    PtfmTAxt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    PtfmTAyt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    PtfmTAzt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFxc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFyc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFzc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMxc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMyc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMzc1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFxc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFyc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFzc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMxc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMyc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMzc2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFxc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFyc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootFzc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMxc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMyc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RootMzc3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLxb1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLyb1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLzb1         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLxb2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLyb2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLzb2         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLxb3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLyb3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   Spn1MLzb3         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   RotThrust         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   LSSGagFya         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   LSSGagFza         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    RotTorq          NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   LSSGagMya         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   LSSGagMza         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    YawBrFxp         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    YawBrFyp         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    YawBrFzp         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    YawBrMxp         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    YawBrMyp         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    YawBrMzp         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TwrBsFxt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TwrBsFyt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TwrBsFzt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TwrBsMxt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TwrBsMyt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    TwrBsMzt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwHt1MLxt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwHt1MLyt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TwHt1MLzt         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair1Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair1Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch1Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch1Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair2Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair2Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch2Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch2Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair3Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair3Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch3Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch3Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair4Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair4Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch4Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch4Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair5Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair5Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch5Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch5Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair6Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair6Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch6Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch6Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair7Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair7Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch7Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch7Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair8Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Fair8Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch8Ten         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
    Anch8Ang         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
   TipSpdRat         NaN         NaN         NaN         NaN        NaN         NaN        NaN   
     RotCp           NaN         NaN         NaN         NaN        NaN         NaN        NaN   
     RotCt           NaN         NaN         NaN         NaN        NaN         NaN        NaN   
     RotCq           NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_1        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_2        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_3        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_4        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_5        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_6        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_7        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_8        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_9        NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_10       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_11       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  RootFxyc1_12       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  TwHt1MLxyt_1       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  TwHt1MLxyt_2       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  TwHt1MLxyt_3       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  TwHt1MLxyt_4       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  TwHt1MLxyt_5       NaN         NaN         NaN         NaN        NaN         NaN        NaN   
  TwHt1MLxyt_6       NaN         NaN         NaN         NaN        NaN         NaN        NaN   


